filepath,text_asr,text_translated,intent
es-ES~APP_ERROR/60266571dc3604f481bcb50a.wav,hola buenas a ver tengo un problema con vuestra aplicación resulta que quiero hacer una transferencia bancaria a una cuenta conocida,hello good to see I have a problem with your application it turns out that I want to make a bank transfer to a known account,APP_ERROR
es-ES~APP_ERROR/6026655bdc3604f481bcb4fa.wav,la aplicación no cargue el saldo de mi nueva cuenta,the application does not load the balance of my new account,APP_ERROR
es-ES~APP_ERROR/6026655cdc3604f481bcb4fb.wav,hola tengo un problema con la aplicación no carga y tampoco voy a quitar Gael saldo de mi cuenta nueva dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta necesito inmediatamente,hello I have a problem with the application does not load and I will not remove Gael balance from my new account says that the application is being repaired and now I can not access my account I need immediately,APP_ERROR
es-ES~APP_ERROR/602660c0c7abb7f832138160.wav,hola buena la aplicación no se carga el saldo de mi cuenta nueva y sí que la voy a decir está siendo reparado y yo no puedo acceder a mi cuenta,hello good the application does not load the balance of my new account and yes I am going to say it is being repaired and I can not access my account,APP_ERROR
es-ES~APP_ERROR/60266199c7abb7f83213819f.wav,bueno pues resulta que la aplicación no se actualiza cuando cuando he introducido saldo de la nueva cuenta y me dice que ahora mismo no está disponible que no puedo acceder a mi cuenta,"Well, it turns out that the application is not updated when when I have entered the balance of the new account and it tells me that right now it is not available that I cannot access my account",APP_ERROR
es-ES~APP_ERROR/60266095dc3604f481bcb341.wav,hola buenos días verás es que no puedo acceder a mi cuenta la aplicación no funciona bien no sé qué pasa que intento meterme en mi saldo y demás pero no no carga no funciona,hello good morning you will see is that I can not access my account the application does not work well I do not know what happens I try to enter my balance and others but no it does not load it does not work,APP_ERROR
es-ES~APP_ERROR/6026623fc7abb7f8321381e0.wav,hola tengo problema con la aplicación,hello I have a problem with the application,APP_ERROR
es-ES~APP_ERROR/6026637ec7abb7f8321382a1.wav,hola buenos días quería informar porque no me funciona la app del banco si dice que no me carga si vale vale muchas gracias,"Hello, good morning, I wanted to inform you because the bank app does not work for me if it says that it does not charge me if it is worth it, thank you very much",APP_ERROR
es-ES~APP_ERROR/602661f2c7abb7f8321381c2.wav,intentando acceder a la aplicación de cargar correctamente,trying to access the application to load correctly,APP_ERROR
es-ES~APP_ERROR/602663acc7abb7f8321382c7.wav,tengo un problema cuando entra en la aplicación no puedo ver los últimos movimientos de mi cuenta,I have a problem when I enter the application I cannot see the last movements of my account,APP_ERROR
es-ES~APP_ERROR/60265dd5dc3604f481bcb317.wav,hola estoy utilizando la aplicación del banco y no funciona más que le doy no carga ni muestra el saldo ni cuenta me dejas teléfono tracción cómo podría solucionarlo,"Hi, I'm using the bank application and it doesn't work any more than I give it, it doesn't load or show the balance or account, you leave me phone traction how could I solve it",APP_ERROR
es-ES~APP_ERROR/6026636ccfa37e1cf217af7c.wav,buenos días estoy teniendo problemas para acceder a la aplicación de mi cuenta bancaria la aplicación no carga me podrían indicar alguna solución,"Good morning I am having problems accessing the application from my bank account, the application does not load, could you tell me a solution",APP_ERROR
es-ES~APP_ERROR/6026604ac7abb7f832138152.wav,dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta,it says the app is being repaired and now I can't access my account,APP_ERROR
es-ES~APP_ERROR/602664c8dc3604f481bcb47a.wav,la aplicación móvil del banco no funciona correctamente,the bank's mobile app is not working properly,APP_ERROR
es-ES~APP_ERROR/602664ffc7abb7f832138338.wav,intentó abrir la aplicación pero se cierra automáticamente,tried to open the app but it closes automatically,APP_ERROR
es-ES~APP_ERROR/6026647edc3604f481bcb43b.wav,mira tengo una aplicación instalada en mi móvil y te intentan hacer el saldo de mi cuenta en pero la aplicación no me funciona correctamente no se carga ningún momento,"Look, I have an application installed on my mobile and they try to make the balance of my account in but the application does not work correctly, it does not load any time",APP_ERROR
es-ES~APP_ERROR/6026655bc7abb7f832138371.wav,hola buenas quiero utilizar la aplicación del banco pero no consigo que funcione en condiciones no sé si es que está en mantenimiento o tengo algún problema yo me podrías ayudar,"hello good I want to use the bank application but I can't get it to work properly I don't know if it's undergoing maintenance or I have a problem, could you help me",APP_ERROR
es-ES~APP_ERROR/60265dcbdc3604f481bcb316.wav,tengo un problema con la aplicación del móvil,I have a problem with the mobile application,APP_ERROR
es-ES~APP_ERROR/60266139dc3604f481bcb352.wav,estoy tratando de acceder a mi cuenta de banco y la aplicación no está cargando correctamente no me enseñan no me está enseñando la información que necesito,I am trying to access my bank account and the application is not loading correctly they do not teach me it is not teaching me the information I need,APP_ERROR
es-ES~APP_ERROR/60266206dc3604f481bcb380.wav,hola enciende la aplicación y me da error no sé que puede pasar,"Hello, turn on the application and it gives me an error, I do not know what can happen",APP_ERROR
es-ES~APP_ERROR/60266491dc3604f481bcb449.wav,buenos días quería mirar cuánto tenía en el banco con la aplicación del móvil y no me funciona pero sabe si está bloqueada o algo,Good morning I wanted to see how much I had in the bank with the mobile application and it does not work for me but you know if it is blocked or something,APP_ERROR
es-ES~FREEZE/6026664fcfa37e1cf217afbb.wav,hola buenos días soy cliente del banco y les llamo por favor para que bloqueen mi tarjeta,"Hello, good morning, I am a bank customer and I will call you please to block my card",FREEZE
es-ES~FREEZE/602664e4dc3604f481bcb498.wav,hola buenos días mira llamaba porque quería hacer un bloqueo de mi tarjeta congelar todos los movimientos hasta nueva orden es posible,"Hello, good morning, look, I was calling because I wanted to block my card, freeze all movements until a new order is possible.",FREEZE
es-ES~FREEZE/60266240c7abb7f8321381e1.wav,por favor quiero bloquear mi tarjeta,please i want to block my card,FREEZE
es-ES~FREEZE/602666acc7abb7f8321384fe.wav,hola buenos días me gustaría congelar mi tarjeta ya que últimamente he estado que han estado realizando unos pagos en mi nombre que no son míos,hello good morning I would like to freeze my card since lately I have been making some payments on my behalf that are not mine,FREEZE
es-ES~FREEZE/602666e9c7abb7f832138553.wav,hola quería bloquear una tarjeta de crédito por favor,hello I wanted to block a credit card please,FREEZE
es-ES~FREEZE/60266656c7abb7f832138485.wav,hola quería congelar mi tarjeta bloquearla por completo por favor,hello I wanted to freeze my card completely block it please,FREEZE
es-ES~FREEZE/602666c4c7abb7f83213851a.wav,quiero congelar mi tarjeta bancaria,I want to freeze my bank card,FREEZE
es-ES~FREEZE/602665bbdc3604f481bcb53c.wav,necesito bloquear mi tarjeta,I need to block my card,FREEZE
es-ES~FREEZE/602666f9c7abb7f832138565.wav,necesito que me bloqueen mi tarjeta,I need my card blocked,FREEZE
es-ES~FREEZE/60266653c7abb7f832138481.wav,hola me gustaría tener todas las transiciones en mi tarjeta y quisiera congelarla y bloquearla,hello i would like to have all the transitions on my card and i would like to freeze and lock it,FREEZE
es-ES~FREEZE/602666b2dc3604f481bcb591.wav,necesito que tener todas las transacciones de mi tarjeta dejarla bloqueada,I need to have all my card transactions leave it blocked,FREEZE
es-ES~FREEZE/60266570c7abb7f832138381.wav,hola buenos días es que me gustaría cancelar la tarjeta terminada en 47 porque es que me acaban de robar pero quiero darla de baja quiero cancelarlo ahora mismo gracias,"Hello, good morning, I would like to cancel the card ending in 47 because it was just stolen but I want to cancel it, I want to cancel it right now, thank you",FREEZE
es-ES~FREEZE/602666dacfa37e1cf217afd3.wav,buenos días he perdido la cartera y que me gustará congelar mi tarjeta por favor,good morning I lost my wallet and I would like to freeze my card please,FREEZE
es-ES~FREEZE/602665e8c7abb7f832138400.wav,quería bloquear mi tarjeta por favor,I wanted to block my card please,FREEZE
es-ES~FREEZE/602665c7c7abb7f8321383d2.wav,hola buenos días me han robado la tarjeta y quisiera congelarla para que no la puedan utilizar hasta gracias,"Hello, good morning, my card has been stolen and I would like to freeze it so that you cannot use it until thank you",FREEZE
es-ES~FREEZE/6026666adc3604f481bcb57c.wav,he tenido un problema con mi tarjeta no la encuentro y quiero bloquear todas las transacciones,"I have had a problem with my card, I cannot find it and I want to block all transactions",FREEZE
